Time;Temperatura
04/12/2024 07:00;35.0 °C
04/12/2024 07:15;35.4 °C
04/12/2024 07:30;36.7 °C
04/12/2024 07:45;35.7 °C
04/12/2024 08:00;34.4 °C
04/12/2024 08:15;34.8 °C
04/12/2024 08:30;36.1 °C
04/12/2024 08:45;35.8 °C
04/12/2024 09:00;36.0 °C
04/12/2024 09:15;37.1 °C
04/12/2024 09:30;39.7 °C
04/12/2024 09:45;39.4 °C
04/12/2024 10:00;37.4 °C
04/12/2024 10:15;36.5 °C
04/12/2024 10:30;35.5 °C
04/12/2024 10:45;34.8 °C
04/12/2024 11:00;34.7 °C
04/12/2024 11:15;33.9 °C
04/12/2024 11:30;33.6 °C
04/12/2024 11:45;32.6 °C
04/12/2024 12:00;31.0 °C
04/12/2024 12:15;29.5 °C
04/12/2024 12:30;28.6 °C
04/12/2024 12:45;28.6 °C
04/12/2024 13:00;28.7 °C
04/12/2024 13:15;29.3 °C
04/12/2024 13:30;29.5 °C
04/12/2024 13:45;29.9 °C
04/12/2024 14:00;30.3 °C
04/12/2024 14:15;31.2 °C
04/12/2024 14:30;31.6 °C
04/12/2024 14:45;32.1 °C
04/12/2024 15:00;33.1 °C
04/12/2024 15:15;33.2 °C
04/12/2024 15:30;33.7 °C
04/12/2024 15:45;34.7 °C
04/12/2024 16:00;35.6 °C
04/12/2024 16:15;35.6 °C
04/12/2024 16:30;35.9 °C
04/12/2024 16:45;36.3 °C
04/12/2024 17:00;37.0 °C
04/12/2024 17:15;37.3 °C
04/12/2024 17:30;37.0 °C
04/12/2024 17:45;37.1 °C
04/12/2024 18:00;37.4 °C
04/12/2024 18:15;34.8 °C
04/12/2024 18:30;30.5 °C
04/12/2024 18:45;30.1 °C
04/12/2024 19:00;30.6 °C
04/12/2024 19:15;31.3 °C
04/12/2024 19:30;33.7 °C
04/12/2024 19:45;34.7 °C
04/12/2024 20:00;33.3 °C
04/12/2024 20:15;32.8 °C
04/12/2024 20:30;29.8 °C
04/12/2024 20:45;29.0 °C
04/12/2024 21:00;29.9 °C
04/12/2024 21:15;29.2 °C
04/12/2024 21:30;27.7 °C
04/12/2024 21:45;27.1 °C
04/12/2024 22:00;26.5 °C
04/12/2024 22:15;27.1 °C
04/12/2024 22:30;27.3 °C
04/12/2024 22:45;28.0 °C
04/12/2024 23:00;30.6 °C
04/12/2024 23:15;31.5 °C
04/12/2024 23:30;31.2 °C
04/12/2024 23:45;31.4 °C
05/12/2024 00:00;30.5 °C
05/12/2024 00:15;30.5 °C
05/12/2024 00:30;30.5 °C
05/12/2024 00:45;30.9 °C
05/12/2024 01:00;32.6 °C
05/12/2024 01:15;34.2 °C
05/12/2024 01:30;33.2 °C
05/12/2024 01:45;33.0 °C
05/12/2024 02:00;32.4 °C
05/12/2024 02:15;32.0 °C
05/12/2024 02:30;31.5 °C
05/12/2024 02:45;31.0 °C
05/12/2024 03:00;30.4 °C
05/12/2024 03:15;30.5 °C
05/12/2024 03:30;30.5 °C
05/12/2024 03:45;31.5 °C
05/12/2024 04:00;32.5 °C
05/12/2024 04:15;32.9 °C
05/12/2024 04:30;33.5 °C
05/12/2024 04:45;36.3 °C
05/12/2024 05:00;39.9 °C
05/12/2024 05:15;39.4 °C
05/12/2024 05:30;37.0 °C
05/12/2024 05:45;34.7 °C
05/12/2024 06:00;33.5 °C
05/12/2024 06:15;33.3 °C
05/12/2024 06:30;33.0 °C
05/12/2024 06:45;32.8 °C
05/12/2024 07:00;32.3 °C
05/12/2024 07:15;31.8 °C
05/12/2024 07:30;29.6 °C
05/12/2024 07:45;28.0 °C
05/12/2024 08:00;27.1 °C
05/12/2024 08:15;26.7 °C
05/12/2024 08:30;27.9 °C
05/12/2024 08:45;30.8 °C
