Time;BRUTO
05/12/2024 16:00;4.87
05/12/2024 16:15;5.39
05/12/2024 16:30;5.70
05/12/2024 16:45;5.57
05/12/2024 17:00;5.05
05/12/2024 17:15;5.29
05/12/2024 17:30;6.20
05/12/2024 17:45;6.93
05/12/2024 18:00;7.68
05/12/2024 18:15;8.53
05/12/2024 18:30;9.18
05/12/2024 18:45;8.04
05/12/2024 19:00;7.96
05/12/2024 19:15;8.69
05/12/2024 19:30;9.12
05/12/2024 19:45;9.43
05/12/2024 20:00;9.25
05/12/2024 20:15;9.05
05/12/2024 20:30;7.96
05/12/2024 20:45;6.56
05/12/2024 21:00;6.07
05/12/2024 21:15;6.05
05/12/2024 21:30;6.19
05/12/2024 21:45;5.99
05/12/2024 22:00;5.90
05/12/2024 22:15;5.85
05/12/2024 22:30;5.71
05/12/2024 22:45;5.62
05/12/2024 23:00;5.46
05/12/2024 23:15;5.99
05/12/2024 23:30;6.46
05/12/2024 23:45;6.64
06/12/2024 00:00;6.49
06/12/2024 00:15;6.84
06/12/2024 00:30;7.04
06/12/2024 00:45;6.94
06/12/2024 01:00;7.76
06/12/2024 01:15;7.67
06/12/2024 01:30;7.80
06/12/2024 01:45;7.86
06/12/2024 02:00;9.01
06/12/2024 02:15;9.83
06/12/2024 02:30;10.2
06/12/2024 02:45;10.3
06/12/2024 03:00;9.67
06/12/2024 03:15;8.69
06/12/2024 03:30;8.20
06/12/2024 03:45;7.24
06/12/2024 04:00;6.89
06/12/2024 04:15;6.63
06/12/2024 04:30;6.49
06/12/2024 04:45;6.07
06/12/2024 05:00;8.73
06/12/2024 05:15;10.5
06/12/2024 05:30;10.1
06/12/2024 05:45;9.35
06/12/2024 06:00;9.21
06/12/2024 06:15;9.12
06/12/2024 06:30;8.96
06/12/2024 06:45;10.1
06/12/2024 07:00;10.7
06/12/2024 07:15;10.8
06/12/2024 07:30;10.5
06/12/2024 07:45;10.4
06/12/2024 08:00;9.90
06/12/2024 08:15;9.32
06/12/2024 08:30;8.95
06/12/2024 08:45;8.27
06/12/2024 09:00;7.74
06/12/2024 09:15;8.07
06/12/2024 09:30;7.81
06/12/2024 09:45;7.67
06/12/2024 10:00;7.31
06/12/2024 10:15;7.05
06/12/2024 10:30;7.14
06/12/2024 10:45;6.91
06/12/2024 11:00;6.53
06/12/2024 11:15;6.35
06/12/2024 11:30;6.00
06/12/2024 11:45;5.52
06/12/2024 12:00;5.45
06/12/2024 12:15;5.70
06/12/2024 12:30;5.87
06/12/2024 12:45;5.75
06/12/2024 13:00;5.77
06/12/2024 13:15;5.87
06/12/2024 13:30;5.69
06/12/2024 13:45;5.46
06/12/2024 14:00;4.99
06/12/2024 14:15;4.57
06/12/2024 14:30;4.35
06/12/2024 14:45;4.37
06/12/2024 15:00;4.58
06/12/2024 15:15;4.71
06/12/2024 15:30;5.00
06/12/2024 15:45;4.94
06/12/2024 16:00;4.87
06/12/2024 16:15;5.05
06/12/2024 16:30;5.11
06/12/2024 16:45;5.39
06/12/2024 17:00;5.93
06/12/2024 17:15;6.38
06/12/2024 17:30;6.00
06/12/2024 17:45;6.91
06/12/2024 18:00;7.54
06/12/2024 18:15;7.37
06/12/2024 18:30;7.60
06/12/2024 18:45;8.13
06/12/2024 19:00;8.07
06/12/2024 19:15;6.62
06/12/2024 19:30;5.68
06/12/2024 19:45;5.28
06/12/2024 20:00;5.41
06/12/2024 20:15;5.26
06/12/2024 20:30;3.97
06/12/2024 20:45;5.42
06/12/2024 21:00;5.81
06/12/2024 21:15;6.30
06/12/2024 21:30;6.08
06/12/2024 21:45;5.01
06/12/2024 22:00;5.09
06/12/2024 22:15;4.91
06/12/2024 22:30;5.00
06/12/2024 22:45;5.47
06/12/2024 23:00;6.96
06/12/2024 23:15;7.05
06/12/2024 23:30;7.60
06/12/2024 23:45;8.53
07/12/2024 00:00;8.07
07/12/2024 00:15;7.97
07/12/2024 00:30;8.30
07/12/2024 00:45;8.16
07/12/2024 01:00;7.48
07/12/2024 01:15;7.23
07/12/2024 01:30;7.06
07/12/2024 01:45;6.89
07/12/2024 02:00;6.91
07/12/2024 02:15;6.65
07/12/2024 02:30;6.32
07/12/2024 02:45;5.99
07/12/2024 03:00;5.72
07/12/2024 03:15;5.95
07/12/2024 03:30;6.10
07/12/2024 03:45;6.29
07/12/2024 04:00;6.36
07/12/2024 04:15;6.53
07/12/2024 04:30;6.45
07/12/2024 04:45;6.13
07/12/2024 05:00;5.91
07/12/2024 05:15;5.87
07/12/2024 05:30;5.50
07/12/2024 05:45;5.76
07/12/2024 06:00;5.70
07/12/2024 06:15;5.82
07/12/2024 06:30;6.49
07/12/2024 06:45;7.25
07/12/2024 07:00;7.86
07/12/2024 07:15;8.19
07/12/2024 07:30;9.85
07/12/2024 07:45;9.88
07/12/2024 08:00;9.96
07/12/2024 08:15;9.44
07/12/2024 08:30;8.30
07/12/2024 08:45;7.54
07/12/2024 09:00;6.96
07/12/2024 09:15;6.72
07/12/2024 09:30;6.40
07/12/2024 09:45;6.02
07/12/2024 10:00;5.60
07/12/2024 10:15;5.71
07/12/2024 10:30;5.71
07/12/2024 10:45;5.78
07/12/2024 11:00;5.73
07/12/2024 11:15;5.71
07/12/2024 11:30;5.85
07/12/2024 11:45;5.95
07/12/2024 12:00;5.83
07/12/2024 12:15;5.80
07/12/2024 12:30;5.32
07/12/2024 12:45;4.68
07/12/2024 13:00;5.57
07/12/2024 13:15;5.68
07/12/2024 13:30;5.69
07/12/2024 13:45;5.46
07/12/2024 14:00;6.61
07/12/2024 14:15;6.62
07/12/2024 14:30;6.17
07/12/2024 14:45;6.52
07/12/2024 15:00;6.80
07/12/2024 15:15;7.01
07/12/2024 15:30;6.77
07/12/2024 15:45;6.36
07/12/2024 16:00;6.66
07/12/2024 16:15;6.63
07/12/2024 16:30;6.44
07/12/2024 16:45;6.35
07/12/2024 17:00;6.46
07/12/2024 17:15;6.28
07/12/2024 17:30;5.91
07/12/2024 17:45;5.83
07/12/2024 18:00;5.83
07/12/2024 18:15;5.90
07/12/2024 18:30;5.87
07/12/2024 18:45;5.84
07/12/2024 19:00;5.88
07/12/2024 19:15;5.64
07/12/2024 19:30;6.03
07/12/2024 19:45;6.29
07/12/2024 20:00;6.00
07/12/2024 20:15;6.87
07/12/2024 20:30;7.30
07/12/2024 20:45;6.68
07/12/2024 21:00;6.69
07/12/2024 21:15;6.54
07/12/2024 21:30;6.56
07/12/2024 21:45;6.54
07/12/2024 22:00;6.51
07/12/2024 22:15;6.15
07/12/2024 22:30;6.56
07/12/2024 22:45;6.75
07/12/2024 23:00;6.69
07/12/2024 23:15;7.36
07/12/2024 23:30;7.39
07/12/2024 23:45;7.07
08/12/2024 00:00;6.40
08/12/2024 00:15;6.06
08/12/2024 00:30;6.41
08/12/2024 00:45;7.01
08/12/2024 01:00;7.07
08/12/2024 01:15;7.33
08/12/2024 01:30;7.30
08/12/2024 01:45;6.67
08/12/2024 02:00;6.38
08/12/2024 02:15;5.56
08/12/2024 02:30;5.77
08/12/2024 02:45;6.12
08/12/2024 03:00;6.00
08/12/2024 03:15;6.10
08/12/2024 03:30;4.91
08/12/2024 03:45;5.12
08/12/2024 04:00;5.83
08/12/2024 04:15;5.74
08/12/2024 04:30;5.49
08/12/2024 04:45;5.72
08/12/2024 05:00;5.65
08/12/2024 05:15;5.66
08/12/2024 05:30;5.77
08/12/2024 05:45;5.70
08/12/2024 06:00;5.24
08/12/2024 06:15;5.61
08/12/2024 06:30;5.81
08/12/2024 06:45;2.76
08/12/2024 07:00;2.66
08/12/2024 07:15;3.79
08/12/2024 07:30;4.85
08/12/2024 07:45;5.87
08/12/2024 08:00;5.71
08/12/2024 08:15;5.66
08/12/2024 08:30;5.71
08/12/2024 08:45;5.81
08/12/2024 09:00;6.11
08/12/2024 09:15;6.55
08/12/2024 09:30;6.66
08/12/2024 09:45;6.73
08/12/2024 10:00;6.80
08/12/2024 10:15;6.86
08/12/2024 10:30;6.76
08/12/2024 10:45;6.80
08/12/2024 11:00;6.91
08/12/2024 11:15;9.55
08/12/2024 11:30;11.2
08/12/2024 11:45;10.7
08/12/2024 12:00;10.6
08/12/2024 12:15;10.8
08/12/2024 12:30;10.9
08/12/2024 12:45;10.9
08/12/2024 13:00;10.8
08/12/2024 13:15;11.0
08/12/2024 13:30;11.1
08/12/2024 13:45;10.9
08/12/2024 14:00;10.8
08/12/2024 14:15;10.6
08/12/2024 14:30;10.2
08/12/2024 14:45;9.62
08/12/2024 15:00;9.22
08/12/2024 15:15;9.13
08/12/2024 15:30;7.27
08/12/2024 15:45;6.97
08/12/2024 16:00;6.86
08/12/2024 16:15;6.96
08/12/2024 16:30;6.74
08/12/2024 16:45;6.64
08/12/2024 17:00;6.54
08/12/2024 17:15;6.43
08/12/2024 17:30;6.41
08/12/2024 17:45;6.61
08/12/2024 18:00;6.70
08/12/2024 18:15;7.08
08/12/2024 18:30;8.39
08/12/2024 18:45;9.12
08/12/2024 19:00;8.30
08/12/2024 19:15;7.01
08/12/2024 19:30;6.35
08/12/2024 19:45;6.12
08/12/2024 20:00;6.17
08/12/2024 20:15;6.19
08/12/2024 20:30;6.38
08/12/2024 20:45;9.07
08/12/2024 21:00;8.65
08/12/2024 21:15;7.13
08/12/2024 21:30;6.60
08/12/2024 21:45;6.64
08/12/2024 22:00;6.58
08/12/2024 22:15;6.30
08/12/2024 22:30;4.38
08/12/2024 22:45;4.23
08/12/2024 23:00;4.77
08/12/2024 23:15;4.97
08/12/2024 23:30;5.41
08/12/2024 23:45;5.74
